idx,text,predicted label
0,감사합니다,1
1,외투스 상담사 사삼입니다,1
2,무엇을 도와드릴까요,1
3,아 네 안녕하세요,1
4,십 일 번가 광고 도움 있는 예 씨 씨 신 지이라는데요 네 네소를 실 쪽 온라인 마케팅 담당단신 가능할까요,1
5,아 네 더 죄송하지만 저희는 고객센터 가지고요 저희 쪽에서 바로 연결은 어려우시고요 저희 그 음식 홈페이지 하단 확인을 해보시면 이메일이라고 해서 헬퍼 골뱅이 웹피스 닷컴이라고 확인이 되실 텐데요,1
6,네 네 이쪽으로 대 작성해서 내일 발송해주셔야 되세요,1
7,저희 유선으로 바로 담당자분 연결은 어려우시거든요,1
8,아 네 알겠습니다,1
9,네 감사합니다,1
10,여기세요,1
11,네 안녕하세요,1
12,피스 상담사 아 네 네합니다,1
13,이 선생님 맞으신가요 예 네 거기는 저희 쪽에 그 불량 건으로 문의를 주셨더라고요 네 여기 쿠팡에서 구매하셨다고 했는데 정확하게 어떤 상품 구매해주 될까요,1
14,그 오 개 딱 떼어은 건데 아 네 상품이 테프 구십 타인가요 팔 번인가요 그 집파 초보랑 분홍색으로행 아 네 소소야 도홍토끼 그림 그려져 있는 거구요,1
15,네 아 네 확인 감사합니다,1
16,이 오십 개 한 구매하신 거죠,1
17,네 지금 원래는 개봉된 상품 교환이나 반품만 진행하는 옷인데 분명히량이 확인되는 거잖아요,1
18,다가 불량이 혹시 몇 개 확인이 되었을까요흠 이고 거 여덟 근데 이걸 우리가 쓰지 않아요 뜨고 나서 또 한 번을 못 한 번 빼고 쭉 바꿔주고 거라에게 노 아이어가 갖고삐끄어지고 고 와이온을 밥 및 와이어만 니트를 좀 마스크 안으로 빠지고 요 이거는 요 와이이어가 아 네자 코 디집되어 있는 그 네과 이용이 조금 이상하다는 말씀이잖아요,0
19,그게 일곱에서 여덟 개 정도 확인이 되는 거구요,1
20,네 근데 그게게요 네 한 벌 이게 파 완전되어 딸 마스크 제가 약국에서 비교와 써봤거든요,1
21,었는데 편 하는 거예요,1
22,애한테 아 레벨 문상 묶 오지면은 그 다른 마트를 초이라고 해도 눈 계속 틀리더라고요 아 네 네 그 회로 길이가 길어가지고 근데 얘는 밀탁되고 가로길에도 탁 좋은데 그 길이가끈이 좀 길어서 그것 묶으면 되더라고요 애들이 이번에는 그 꽃 부분이 조금 불란하다는 근데 한 번 뜨고 이제 어린이 갔다 오자 겨울날를 또려은 얘가 자꾸 내려가요 아 그러세요,0
23,어 일단은 고객님 그 코 디지디 부분은 어쨌든 책은 어 여기도 빠진도 있고 잘 맞지가 않는 건 굉장히 일곱에서 여덟 개 정도 확인이 되셨다고 하시 거예요,0
24,네 그 부분은 더 동일한 제품으로 대표 해드릴 수가 있으세요 그 코 이제 지 탈퇴 혹은 이제 불량이라는 거를 사진을 좀 커서 저희 카카오톡 테널터가 하셔서 사진 해주시면 저희가 사진 확인하고 다시 배 하하도록 하겠습니다,1
25,근데 그게 보일까요,1
26,그 아이어간 밑에 빠져져있는데 제가 만들보면은 밑에 있거든요,1
27,아 그러세요,1
28,열지는 고객님 이렇게 마스크 거 탈타소 와이어를 이렇게 잡아서 이 부분에 있다고 하는 그런 거를 사진을 이렇게 찍어서 보내주시면 될 것 같거든요,0
29,아 네모에는 고객이 그 불편 사항은 메모를 해둘 거라서 이 여행을 사진으로는 어쨌든 불량인 거를 확인을 해야 되는 부분이 그렇게 해서 사진 보내주시는데 사진만 딱 보내주시면 저희가 정보 확인 되지 않기 때문에 기본적인 정보권을 기대해해주시고 전송 해주시면 되세요,1
30,카톡으로 저한테 말 걸어주시는 거예요,1
31,아니요 고객님이 저희 태 목록에서 아 저희 외피트을 검색하셔 가지고 생활을 주문해서 대여해주시면 되세요,1
32,아 그럼 상담원이 바로 음 얼마 아니면 여기가 여섯 시까지 업무이기 때문에 그거를 해주시면 바로 답변 드릴 수 있을 거예요,0
33,아 그러면 지금 밖 가서 사진을 익힌 아 일일로 오면 네 이 일 정도의 했을 때 너무 네 저희가 바로 하 확인은 되는 거니까요 그러면 제가 지금 갖고 있는 이거 다시 연본해줘야 돼요 네 애가 썼던 이제 가게 앉아 찍어워 놓으시면 되는 거구요,0
34,그리고 일단 지금 남아있는 상품은 불량이 있는지 없는지는 확인이 안 되 되는 거잖아요,1
35,사용을 해보시다가 동일한 등산이나 아니면 또 다른 불량사항 있으면 모아두셨다가 별로 연락 연락 그때 대 다시 주시면 되시고 오늘은 지금 확인증 지금 이 정도 현재 확인됐으니까 이 부분은 단과 동일한 상품으로 대체도 해드릴 거예요,1
36,사 일곱 개 여덟 개가 나오는 오는 거예요,1
37,어 저는 지금 여덟 개 정도 확인이 됐다고 하시면 아무래도 조금 불편하게 사용을 하셨으니까 거의 두 개 정도 더 추가해서 열매로 보내드리도록 하겠습니다,1
38,카드 아 네 네 알겠습니다,1
39,그러면 그 각 그거 좀 보내주세요,1
40,어 저는 저희 주소는 아니시고요 그냥 검색을 왜 팩스 머리가랑 함께 되세요,1
41,네 아 그에 계속 비교로 온라인 답변 듣는는 그런 거 아니죠,1
42,상담 하나 아마 처음에는 자동다 할 텐데 저희가 그게 문늬권이 오게 되면 확인이되는이기 때문에 아 화 답변은 드릴 거예요,0
43,아 네 알겠습니다,1
44,네 감사합니다 네,1
45,네 감사 상담원 무엇을 도와드릴까요 주일 반 이 하나 연락을 드렸었는데 요 환불 사항을 바꾸서 이게 뭐 진행이 안 갖고라고 기억하면 진행 안 네겠습니다,1
46,어 성함이랑 핸드폰 번호 알려주세요,1
47,이 앞에 오구요,1
48,원 이 이상한 팔에서천 원이요 그 중에서 그 입금하게 금액도 하신 거죠,1
49,그 주일 전에 입금했구요,1
50,네 카드 제가 한번 알아보고요 오늘 여섯 제가 최대한 빨리 해결을 해서 도와드리겠습니다,1
51,기다리 너무 죄송합니다,1
52,알이터 궁금한 게 있는데 혹시 그 제가 문의시는 분 기회 하나만분이 마감 엄청 좋나요,1
53,아 네 저희가 지금 전직원이 다 확실히 됐 네,1
54,정말 살았어요,1
55,애가 그 애 좀 많이 많이 연결이 힘드셨죠,1
56,아 이런 것도 문젠데 그 지금 리그라 지금 이름 있는 거거든요,0
57,그래서 에 내가 물라 해서 제가 에 그 전화 분명히 명이 리 일 일 개월일을 계약했으니까 이제 다시 전화할리 알 안 지금 한 삼십 전화한 거 같거든요,1
58,에 뭐 그 있는 말해서 제가 그 하면르는 거예요,0
59,그것도 일단 씨제이를 통해서도 들어왔고통이 좋은 부분적으로 사업이 거기서 들어가다 보니까 다 했던 거 다 안 들어오 이런 부분이 있어 꼭 그래서 여러 개가 좀겹힌 거 같아요,0
60,너무 죄송합니다,1
61,네 아무튼 몇 여덟 되는데도 까메 알려주실까 봐,1
62,에 저 어제 무조건 하고 늦게 퇴근더라도 문자로자를 꼭 남기고 결과도 다 전송해서 드릴 거예요,1
63,네 감사합니다 네,1
64,반갑습니다,1
65,웹 캐스 상담사 자입니다,1
66,무엇을 도와드릴까요,1
67,아 네 안녕하세요,1
68,조금 전에 그 카톡으로 포했던 방인데요,1
69,아 네 고객님 안녕하세요,1
70,아 그 저가 그 카톡으로 말씀드렸었는데 어 저희 이름은 고객님이 예전에도 환불로 해주셨다고 해서 우리가 그것도 제가 다시 한번 확인을 해보려고 확인을 또 연락드리겠다고 카튼 언제 들었었거든요,1
71,그때 상담하셨던 분은 네 네 그 구명권에 있어서 그 환불은 된다고 하시는데 이것도 또 방도 바뀐 건가요 아무래도 반에게 바뀐 것은 아니구요,1
72,저희가 아무래도 고객이 있어서 제가 이십 년도에 이 년 전에 구매를 해 해주신 거잖아요,1
73,그러다 보니까 이게 어 조금 처리하는 데 있어서 이제 환불이 아닌 교환만 가능하다 라고 제가 안내를 해드린 거예요,1
74,패스 마치 세 구매를 하셨다고 하시면 저희가 이 부분에 있어서는 뭐 환불처 좀 도움 드릴 수는 있는데 아무래도 구매해주셨던 이력이 너무 오래던 거 일 년 전이라 저희가 이 부분을 조금 이제 환불처리는 어렵고 교환안으로 해드릴 수 있겠다 해서 고객님께 안내를 드렸는데 음 예전에도 한이라고 해져서 네 네 한불로 해주셨고 그때 상담할 때는 이렇게 모아서리는 미리냐라고 하니깐 음 어 된다고 하셨고 나중에 이게 또 바뀌껴서 안 되는 것이 이해하 이거 다 뜯어보고 확인 대해 무엇을 바로 해야 되 라고기가 그건 아니고 기간이 지나도 구매 유형력만 있으면 다 된다고 하셨거든요,0
75,아 구매 인력만 있으면 늘 미물이 가능하구나,0
76,네 아 그분은 알고시는 건가요 이제 아 아 아 원래 이게 업무적으로 중간에 시스템이 변경이 되면서 밥 이력이 확인이 되지가 않아요,1
77,그래 가지고 그 이번에 거 상담남분 사업분이 고객님께 하셨던 그 안에 했던 말들이 저희는 제가 확인이 보고 있지 않기 때문에 그래서 지금 다른 안내사항을 고객님께 전달을 해드린 거고요 일단은 고객님께서는 예전에 그 기간이 지나도 구매 이력만 있으면 환불이 가능하나라고 안내를 받았다고 하셔 가지고 저희가 입 부분을 다시 한 한번 확인을 해보고 보기에게 연락을 드려야 될 것 같아요,1
78,이게 다만 저희가 오늘 오늘 빠르면 오늘 중으로 연락을 드리면 좋은데 거 확인하는 데 있어서 조금 시간이 걸릴 수가 있다 보니 어 아 그러면 내가 제 통장으로 입금된 내역을 그 이 복 그캡트해가지고 카톡으로 넣어드릴까요 확인 힘들네요,1
79,어 아 아니 단계가 새 이름하고 그 그 일은 그다음에 그 뭐지 핸드폰 번호만 늘려면 다 나오지 않나요 검색 도대체 제가 저희가 주말 아까도 말씀드렸듯이기도 했는데 전산이라이라든지 이런 부분이 전부 다 병으로 돼가지고 리 과거 이력이 전혀 확인이 되지 않기 때문에 저희가 이거는 따로 본사 전달을 해서 이런 부분으로 고객님님이정을 하신 라고 확인해봐야 되는 부분이라 그래서 조금 시간적으로 걸릴 수가 있어서 저희가 빵에는 오늘 중으로 바로 연락드릴 수 있지 확인되는 연락드리구요,0
80,아니면 뭔가 리을까지 확인하고 연락드리도록 하겠습니다,1
81,어디 환불로 그게이트 이해가 안 되는 게 나머지 아주 찾아니깐 다섯 통이 있더라고요 네 확인을 했는데 이거는 교환도 반품도 아예 안된 된다는 말씀이신가요 그 불 나왔어도은 제가 아까도 분명히 명이 나와도 안된 된다는 거예요,0
82,아까도 말씀드렸다시피 으 남아 있던 이제 그것도 어플 과거에 구매를 해 해주었던 게 있으 있으셔 가지고 그거는 은행이 어려울 것 같다,0
83,라고 해서 전달받아서 안내를 해드린 건데 지금 과 한 한번 그 부분도 이제 고객님께서는 구매 이력만 해서 환불이 가능하다,1
84,라고 체크 안내받으셨기 때문에 제가 남아 남아있는 지금 그 백가 남아있다고 하셨잖아요,1
85,낱개으로 이제 확인하니까 카페 백 이십 오 단위 들어서 백 이십 오장이세요,1
86,아 알려주세요,1
87,지금 고이 백 잠시만요 남아있는 수량만 지금 열 다섯 장 빼고 남아있는 게 다섯 통하고 네 그 온 걸로 다 통이랑 네 지금 대략 한 열 몇 장이 또 있거든요,1
88,까 놓은 거 네리 그리고 한 백 사십 장 저도 되지 않을까 싶어요,1
89,음 네 알 그인가 네,1
90,저희가 이 부분까지도 다시 한번 확인을 해 보고 고객 빠르면 오늘 아니면 내일까지는 확인해서 연락드리도록 하겠습니다,1
91,아 네 그리고 조금 이해가 안 돼서 그런데 이메 내역이고 이게 왜 갑자기 이렇게 환불 뭐 불량에 대해서도 음 물론 강좌 없는 거는 환불 교환이 안 되는 거는 알고 있는데 애들이 일 년 자체도 교환 반품이 안된다는 건 더 이해가 안 되거든요,0
92,아 네 알겠습니다,1
93,하니까 저 가지고 야마드가 샀는데 지금 이거는 다웰키스 몰에서 그때 음 지금 말씀해주 게 그 교환만 해주신다는 게 그때는 한상에 컨스 원인가 가장 높았을 금액이었어요,0
94,네 네 그래서 금액 차이 때문에 환불을 안 해주신다는 어 만약에라도 저희가 환불을 한다고 하시면 그때 가격이 아니라 지금 저희 판매되고 있는 공식물 사이트 소비자 가격으로 계산이 낮단 계산이 돼서 환불처리가 된다면 그렇게 되실 거고요 그 그때 구 그 가격으로 네 상담했을 때도 그때 가격으로 무조건 환불을 해주신다고거든요 내가 보면 이거 닦아서서 불량을 다 한 번에 해서 학원에 그냥 하는 게 나을까요 말씀드렸더니 그러지 마시고 음 어쨌든 엘티스 마스크 자체가 주문번호가 있으면 네 언제든지 상관없으니까 가능하다고 하셨었거든요,0
95,아 그러셨어요,1
96,네 일단은 돈거든요,1
97,이거를 지금 바로 고객님께 제가 안내를 해드릴 수 있는 부분은 아니다 보니 아까도 말씀드렸다시피 확인을 하고 빠르면 오늘 아니면 내일까지는 연락 드리도록 하겠습니다,1
98,네 네 감사합니다,1
99,하세요,1
100,네 안녕하세요,1
101,알겠습니다,1
102,네 제가 지금 중국권을 알아보고 있는데 중간까지 하기로 했는데 이제 메일이 뭐라 주문권 자체가 미금 치즈 상태여서 이렇게 아까 그래서 우선은 어쨌든 입금이 해지 상황으로 보낸 거 맞으시죠 네 제가 하 삼 월 이십 육 일 날에 그래서 말씀드렸는데 증권 자체가 뭐가 필요 나가서 다시 진행이 안 될 것 같은데 그래서 저희가 망구 고객 들어 걸 확인하면 주문을 생산해서 어 주문을 하셨던 거를 할려구 하거든요,0
103,그래서 제 이름이랑 다시 찾고 있던 있는니까 중간 정도 상태를 저희가 됐다고 말씀드리는 거고 그래서 원래 그걸 제가하면 두 시까지 드리 했기 때문에 전화 막 네,0
104,어 두 시간 더주 네 시까지 저희가 하게 되면 오늘 중으로 배송이 좀 안될까요,1
105,어 오늘 모르는 거지 내일다고 따로 있는데는데 그래요 오늘라면 내일 이제 기사님들이 그걸 받아보 내일 오후부터 출고가 준비가 되고 보통 예 아 그럼 내일이라도 꼭고 그럼 수거 올 수 있도록릴게요 이름 하면서 하는 과정이 있어서요 네 시에 이름이 매치가 되면 다시 한번 문자 남긴 거 해석했습니다,1
106,어 근데 그웹시트에서 카톡까지 보내주셨는데 왜 그게 그렇게 된 거죠,1
107,저희도 고거든 전선산에서 확인하는 거라서 하는 경우 아니면 좋은번호를를 제가 불러드릴까요 여기 중국 초 에 고 불러드리 그것도 같이 그러니까 네 주문번호가요 이 이 에 공상 이류 네 이 공공 공 삼 오 삼 다시 오 오 이 삼 일니글 아 삼 일 일이요 일이 하나 사 일 일 오 이 육 구 새 팔려 제가 한번 얻습니다,1
108,네 너 둘 둘 공 삼 교육 육 그 공 공 화무 삼 오 삼 하나하나 오 육 구 일타 스터디이에요,1
109,네 제가 검색 때하니까 두 정도 확인을 했으니까요,1
110,그래서 네 시까지 좀 더 기다려주시고 확인해서 제가 문자 알려놓겠습니다,1
111,예 예 사 월 육십 이 일 날 토요일날 이렇게 에이 끊힌 거예요,1
112,네 저희가 날짜로 검색을 해보니까 유인 자태가 취소할 있을 있기 때문에 이게 처리가 안된 거고 그래서 상황을 지금 대수를 다시 한번 확인 중이라고 외 학습 가야 되겠습니다,1
113,그 제가 가는데 그 저기 마크가 약간 너무 안 아닌 것들도 일단 제가 지금 매티터를 직접 주문을 하는 건데 반품품으로에도 부 없는 걸로 해서 좀 잘 좀 부탁드 좀릴게요 많이 받아도하게 그런 사항 있으면 뜯어 뜯어보시고 그런 거 있으면 사진을 찍어 놓셔가지고 나중에 제일 카카오톡으로 보내주시 저희가 새가 나가거든요,0
114,아 네 검수를 하긴 하는데 사람이 하는 거 보니까 가끔씩 그래서 발생하던데 만약에 그런 게 값을 뜯었는데 삼십에짜리 지나하셨나요,1
115,어 이게 이십 오에 네 이십에 짜지 이십 오짜리리 빼놓고 불 뭐 잘 안 나온 경우가 왔는데 가끔 부찌개 들어간 경우도 있다으니까뜯어서 두 개 너무 보관해 놓셨다가 나중에 사진 찍어서 보내주시면 제가 두 개 뭐 한 두 개나 그런 거는 그냥 세저 또는는데 거의 대다수가 그런 경우에는 네 그런 겁니다,0
116,음 알겠습니다,1
117,사진 찍어놔서 카톡으로 보내주시면 제가 보고 확인긴 하긴 해서 환불이 아닌 다른 방법으로 진행하고 방 하나 버리지 마시고 모아서 사진을 찍어서 보내주시면 됩니다,1
118,네 감사합니다,1
119,해야,0
120,여하세요,1
121,예 고객님 안녕하십니까,1
122,저는 메이키트 상담사 신청하려고 합니다,1
123,어플 저번에 구매하면 될까요,1
124,또 아 안녕하십니까,1
125,고객님 너무 죄송합니다,1
126,인터넷 이 월 이후인 호텔 구매줬던 제 마스크크 상태벤 파워컵 때문에 좀 제가 발송지를 못드렸었는데 수 지금 이제 제가 발 소리를 진행하고 있어서 고객님께 걱정 이사 한번 확인차 연락드리게 됐습니다,1
127,사 제전에 그 케이크고 주문만 구매실 건 있는데 제가 발하게 도움드리 될까요,1
128,고객님 아 네 아이 긴 동안 기대려서 너무 감사합니다,1
129,빠르게 취소해서 본인이 받아볼 수 있도록 보도록겠습니다,1
130,네 감사합니다,1
131,네 감사합니다,1
132,콘으로 감사합니다,1
133,저는 상담사 송했습니다,1
134,또 이,1
135,안녕하세요,1
136,레키스 상담사 팀 해이라고 혼자 도와드릴까요,1
137,네 그 좀 주문한 상품 취소려고 하거든요,1
138,사이트도 취소가 안돼서요 네 확인을 위해서 보니 성함이랑 연락 말씀 부탁드릴게요 김희 공 공 이 삼 이 칠 육 육이요 네 소송한 방법하기 감사드립니다 잠시만 기다려주세요,1
139,혹시 그 상사 마 스크 케이에 에프 팔고 대여 스물 내일 맞아요,1
140,네 개 주문해주신 거 맞으세요 네 개요 흐름 네 개 한 두 개 어 그냥 이십 오 개수 수량 네 개 주문해주신 거 맞으 아니세요,1
141,네 개 그네 결제하신 금액이 카드로 육만 사백 팔 프로 아니 돼요,1
142,고객님 이 맞아요,1
143,배수 네 개의 주문을 주신 걸로 확인되고 있거든요,1
144,백 호 음 어 가족은 맞아요,1
145,어 이거 아니 박스스 간 거 같은데 그 저희 외 원피스 공통몰에서 결제해주신 거 아니세요,1
146,맞아요,1
147,어 저희 전사 확인해보니까 네 네 대여 스물 다섯 개 개수 네 개 백 개 주문해주신 걸로 확인되고 있거든요,1
148,왜 그거 취소해주세요,1
149,어떻게 되죠,1
150,고객님 저희 친구기를 보니까 네 발 출구고 작업이 끝난 상태로 확인되고 있거든요,1
151,제가 결제한 지 아직 쿠폰 분도 안 됐는데요,1
152,어 일단 지금 회사하신 사가 어떻게 되셔야지,1
153,저 다른 제품으로 다시 볼려고요구요,1
154,아 다른 데서 다 구매하신 라는 말씀이세요,1
155,네 네만요 네 그럼 이거 제가 픽업 처리리해서 문자로 안내줘도 괜찮을까요 고객님 예게 저는 일반과 팔 네,1
156,그 맞아요,1
157,아 일단겠습니다,1
158,감사합니다,1
159,예,1
160,네 안녕하세요,1
161,스 예 네 어제 방송 보시고 이제 주문을하려다가 취소 직접 해주셨는데는데요,1
162,뭐 애가 이게 취소가 된 거인지 확인을 했고요 또 왜 몰라도 이게 저 전산으로 가다 보니까 혹시나 몰라서아서 만약에 물건이 도착하게 되면 내 스티거부 한 번 해주시면 되세요,1
163,아는 엘 네 번거롭게 드려 죄송합니다,1
164,전화 하루 되세요,1
165,안녕하세요,1
166,메피스 상담사 일 인입니다,1
167,무엇을 도와드릴까요,1
168,네 안녕하세요,1
169,제가 삼 월 팔 일에 라스크를 주문하고 네 십 이의 배송이이 완료됐다는 ⁇ 테기를 받았는데 대 물품 보관소에 받았더니 할 수가 없더라고요 어 그래가지고 이 택배기 사진 찍어서 보내셨었는데 배송 완료되었 때문에 그 물품보건소 사진 전체를 줄어서 보내져서 아 일보다 어떤 건지도 알 수가 없고 그 제가 저희 기숙사에 있는 아들한테 보낸 거거든요,1
170,아 그 살기짜리 넥고기를 받고고 토요일 오후에 찾으러 갔는데 안 보여서 혹시 누가 잘못 가져갔나 생각이 들어서 일요일 같이 받았는데도 물건이 없는 거예요,1
171,음 배송사님한테 전화를 드렸더니 전화도 안 받으셨구요,1
172,어 이런 경우에는 어떻게 처리해야 되나요,1
173,잠시만요 고객님 네 거기서 확인을 위해서 거기 성함과 연락처 말씀 부탁드릴게요 어 물건을 받은 사람 이름에 대해 되나요,1
174,아니요 결제해주신 고객님의 성함과 연락처 그 이름은 아니미경이고요 네 연락처은 공 일 공 사 오 오 이 오 육 케이 공 번이요 네 소중한 정보 확인 감사드리는 거 반품만 기다려주세요,1
175,이 그 사 팔 일 전에에 결제 팔 공 대형 크 두 개의 낮 어 에프 주문해주신 거 맞으시고요 네 푸다가 긴 성탑자 인성공 맞아야 하나요,1
176,그 수령지가 전북 대학교 병원 맞나요 헤 에이 월 이백 일 일 이 이 네,1
177,맞아요,1
178,아야 잠시만요 지금 롯데택로 출고가 돼서 배송 완료되는 부분으로 확인되고 있는데요,1
179,그리고랑 조회를 해 봤을 때는 삼 회 십이 어 토요일날 이제 외 오후 열 두 시에 배달 완료됐다다라고는 조회가 되거든요,1
180,근데 이제 모기가 혹시 그 물품 보관하는 뭐 그럼 보관함 하는인가요 그게 기숙사에서에서 물품 보관한이 있어서 아 무방도가 있어요,0
181,모바일소가가 있어서 거기 사진 전 제가 이거를 처음에 문의하기 그리 안깝고 그 가게에서 터갈기 더 들 안겼 속동하기에는 사진 삼부가가 되길래 아 어떤 친구를 살 필요 정해졌는지 제가 거기에 대한 환불을 했거든요,1
182,아 네 네 네 네 근데 이게 그 미품보에서 전체 사진지로 보내서 음 저희 마트 카페트가 어디 있는지 전혀 구분 할 수 없는 없는 상황이고 음 네 네 예 예 그렇더라고요 그리고 토요일에 저희 아이가 그 기사님기에 전화를 드렸었나 봐요 저녁에들 네,0
183,근데 전화를 안 받으져 가지고 어 확인을 할 수가 없었어요,1
184,혹시 그럼 그 뒤로 이게 기사라서 통화는 안 거예요,1
185,네 지금 고객님께서 네 네이버톡으로 문의 주신 거 제가 확인을 해봤거든요,1
186,혹시 그 똘리라스 맞나요,1
187,네 맞아요,1
188,지금 오 사진 왔는데 기사가 학습 받았다,1
189,라는 네 네 여기서 이제 그 학생들이 물 찾는 보관장소잖아요,1
190,요게 없다,1
191,라는 건가요 네 후 경에도 받아고 일요일 오전해서 받았는데 물건이 없어요,1
192,어 만 만에 하나 이제 다른 학생이 상품을 이제 잘못 들고 가는 경우도 종종 있긴 해서 그 아직 뭐 그 아 단어분께서 뭐 찾았다,0
193,라는 그런 연락을 못 받으신 상태인 거죠,1
194,예 거기 그러면 이거 제가 직접 택배 기사한테 한번 좀 확인을 해보고 고객님 연락을 드렸려 드려라 라고 좀 안내를 드려도 괜찮을까요,1
195,예 네 그렇게 그러면 연락받을 수 번호가 고객님 연락을 드리는 게 좋을 아니면 그 수령할 수 아으니 다녀분께 연락을 드리면 좋을까요 아들은 휴학 전화를화를 할해 볼 것 같아요,1
196,그러면 공 일 공에 사 오 오 오십 육 칠 공 아까 불러주킨 번호로 기사한테 연락이 되면은 이쪽으로 연락 한 한번 들어려봐라 라고 아 그 핸드폰 번호로 전달드려도 괜찮을까요,1
197,음 일단 알겠습니다,1
